City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
141,Gat,IL,2022-07-02 21:28:00,31.61,34.7642,77.68,100,0,0.58,clear sky
142,Torbay,CA,2022-07-02 21:28:00,47.6666,-52.7314,71.76,58,75,13.8,broken clouds
143,Nikolskoye,RU,2022-07-02 21:28:00,59.7035,30.7861,71.49,61,100,4.56,overcast clouds
144,Batsfjord,NO,2022-07-02 21:28:01,70.6345,29.7185,73.18,60,14,8.05,few clouds
145,Beyneu,KZ,2022-07-02 21:28:01,45.3167,55.2,72.37,57,100,20.69,light rain
146,Hurghada,EG,2022-07-02 21:28:01,27.2574,33.8129,89.64,15,0,5.75,clear sky
147,Otane,NZ,2022-07-02 21:28:01,-39.8833,176.6333,44.49,81,16,2.26,few clouds
148,Mattawa,US,2022-07-02 21:28:02,46.7379,-119.9028,92.01,29,33,5.99,scattered clouds
149,Valdez,EC,2022-07-02 21:28:02,1.2492,-78.9831,79.05,79,96,12.19,overcast clouds
150,Rawson,AR,2022-07-02 21:28:02,-43.3002,-65.1023,48.13,46,60,14.16,broken clouds
151,Kautokeino,NO,2022-07-02 21:28:02,69.0125,23.0412,67.35,84,29,11.23,scattered clouds
152,Aripuana,BR,2022-07-02 21:24:23,-9.1667,-60.6333,86.77,48,61,2.77,broken clouds
153,Saint-Philippe,RE,2022-07-02 21:28:03,-21.3585,55.7679,67.59,78,81,13.27,broken clouds
154,Bhandaria,BD,2022-07-02 21:28:03,22.4861,90.0609,80.2,89,95,5.95,overcast clouds
155,Port Lincoln,AU,2022-07-02 21:28:03,-34.7333,135.8667,52.7,70,98,9.51,overcast clouds
156,Fayaoue,NC,2022-07-02 21:28:04,-20.65,166.5333,77.11,77,100,16.51,overcast clouds
157,Castro,BR,2022-07-02 21:28:04,-24.7911,-50.0119,58.64,82,0,4.61,clear sky
158,Maua,BR,2022-07-02 21:28:04,-23.6678,-46.4614,75.49,48,0,1.57,clear sky
159,Mugla,TR,2022-07-02 21:27:00,37.2303,28.3557,72.16,38,0,7.99,clear sky
160,Souillac,MU,2022-07-02 21:28:05,-20.5167,57.5167,71.98,60,40,17.27,light rain
161,Nuuk,GL,2022-07-02 21:28:05,64.1835,-51.7216,56.01,54,20,11.5,few clouds
162,Alexandria,EG,2022-07-02 21:28:05,31.2156,29.9553,77.54,69,40,4.61,scattered clouds
163,Turukhansk,RU,2022-07-02 21:25:30,65.8167,87.9833,51.93,77,30,6.64,scattered clouds
164,Kahta,TR,2022-07-02 21:28:06,37.7855,38.6237,78.17,35,0,6.55,clear sky
165,Hutchinson,US,2022-07-02 21:24:52,38.0608,-97.9298,90.03,60,75,6.91,broken clouds
166,Mar Del Plata,AR,2022-07-02 21:28:06,-38.0023,-57.5575,47.08,67,20,5.75,few clouds
167,Sambava,MG,2022-07-02 21:28:06,-14.2667,50.1667,70.14,84,64,15.9,light rain
168,Alofi,NU,2022-07-02 21:28:06,-19.0595,-169.9187,80.49,78,15,6.91,few clouds
169,Murray Bridge,AU,2022-07-02 21:28:07,-35.1167,139.2667,47.12,78,15,5.84,few clouds
170,Chokurdakh,RU,2022-07-02 21:28:07,70.6333,147.9167,56.66,43,22,6.06,few clouds
171,Linhai,CN,2022-07-02 21:28:07,28.85,121.1167,75.92,81,100,0.67,overcast clouds
172,Maniitsoq,GL,2022-07-02 21:28:08,65.4167,-52.9,44.62,80,83,8.37,broken clouds
173,Narsaq,GL,2022-07-02 21:28:08,60.9167,-46.05,62.82,56,72,5.48,broken clouds
174,Saint-Leu,RE,2022-07-02 21:28:08,-21.15,55.2833,68.83,68,25,9.69,scattered clouds
175,Brae,GB,2022-07-02 21:28:08,60.3964,-1.353,52.81,89,100,8.5,overcast clouds
176,Orodara,BF,2022-07-02 21:28:09,10.9492,-4.9342,71.56,95,100,3.31,overcast clouds
177,Addis Abeba,ET,2022-07-02 21:28:09,9.025,38.7469,56.32,80,88,4.27,overcast clouds
178,Tuatapere,NZ,2022-07-02 21:28:09,-46.1333,167.6833,45.1,88,70,4.97,broken clouds
179,Ilo,PE,2022-07-02 21:28:09,-17.6394,-71.3375,63.46,72,100,8.05,overcast clouds
180,Ilulissat,GL,2022-07-02 21:28:10,69.2167,-51.1,44.62,76,40,5.75,scattered clouds
181,Thompson,CA,2022-07-02 21:24:44,55.7435,-97.8558,66.36,45,75,3.44,broken clouds
182,Caconda,AO,2022-07-02 21:28:10,-13.7333,15.0667,55.81,36,1,2.46,clear sky
183,Koumac,NC,2022-07-02 21:28:10,-20.5667,164.2833,74.75,80,99,4.72,overcast clouds
184,Oranjestad,AW,2022-07-02 21:28:11,12.524,-70.027,84.15,74,40,13.8,scattered clouds
185,San Benito,US,2022-07-02 21:28:11,36.6166,-121.0844,77.86,30,0,9.62,clear sky
186,Saint George,US,2022-07-02 21:28:02,37.1041,-113.5841,105.26,11,0,17.27,clear sky
187,Tiarei,PF,2022-07-02 21:28:11,-17.5333,-149.3333,80.62,75,26,17.87,light rain
188,San Juan,AR,2022-07-02 21:28:12,-31.5375,-68.5364,56.64,23,0,7.96,clear sky
189,Yakovlevka,RU,2022-07-02 21:28:12,44.425,133.4772,68.92,96,91,4.12,overcast clouds
190,Talnakh,RU,2022-07-02 21:28:12,69.4865,88.3972,52.21,65,74,14.52,broken clouds
191,Xochihuehuetlan,MX,2022-07-02 21:28:12,17.9167,-98.4333,93.78,22,52,5.53,broken clouds
192,Richards Bay,ZA,2022-07-02 21:28:13,-28.783,32.0377,64.58,51,0,11.68,clear sky
193,Yar-Sale,RU,2022-07-02 21:28:13,66.8333,70.8333,44.71,81,100,12.39,overcast clouds
194,Nemuro,JP,2022-07-02 21:28:13,43.3236,145.575,57.22,99,100,4.68,overcast clouds
195,Hobart,AU,2022-07-02 21:27:06,-42.8794,147.3294,41.05,89,20,8.05,few clouds
196,Kaitangata,NZ,2022-07-02 21:28:14,-46.2817,169.8464,45.54,82,15,9.13,few clouds
197,Henties Bay,NA,2022-07-02 21:28:14,-22.116,14.2845,58.78,88,0,7.29,clear sky
198,Boddam,GB,2022-07-02 21:28:14,57.4667,-1.7833,55.78,91,100,5.1,overcast clouds
199,Iqaluit,CA,2022-07-02 21:23:33,63.7506,-68.5145,44.33,75,100,4.61,light rain
200,Alberton,CA,2022-07-02 21:28:14,46.8168,-64.0654,71.51,90,89,12.57,overcast clouds
201,Lerwick,GB,2022-07-02 21:28:15,60.1545,-1.1494,53.6,90,100,8.21,overcast clouds
202,Dehloran,IR,2022-07-02 21:28:15,32.6941,47.2679,92.64,13,0,10.74,clear sky
203,Broken Hill,AU,2022-07-02 21:28:15,-31.95,141.4333,36.63,92,0,13.58,clear sky
204,Miri,MY,2022-07-02 21:28:16,4.4148,114.0089,77.14,94,20,4.61,few clouds
