City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
217,San Jose De Rio Tinto,HN,85.57,overcast clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
218,Vao,NC,73.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
219,Kisangani,CD,70.54,overcast clouds,0.5167,25.2,Grand Ramela Hotel
220,Strezhevoy,RU,53.46,overcast clouds,60.7333,77.5889,Sibiryachka
221,Hasaki,JP,77.4,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
222,Tuktoyaktuk,CA,80.6,few clouds,69.4541,-133.0374,End of The Road Ltd.
223,Tura,IN,74.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
224,Veinticinco De Mayo,AR,47.98,clear sky,-35.4323,-60.1727,Estancia La Rosada
225,Majene,ID,77.95,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
226,Chuy,UY,51.42,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
227,Itoman,JP,78.82,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
228,Bhatkal,IN,79.77,overcast clouds,13.9667,74.5667,Nilawar Palace
229,Khawhai,IN,61.86,moderate rain,23.3667,93.1167,Homestay Khawhai
230,Hami,CN,80.28,overcast clouds,42.8,93.45,Laoyutang Resort
231,Port Blair,IN,82.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
232,Eaglesham,GB,55.72,overcast clouds,55.7412,-4.2746,Best Western Glasgow South Eglinton Arms Hotel
233,Progreso,MX,96.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
235,Menongue,AO,53.85,clear sky,-14.6585,17.691,Ritz Lauca
236,Vostok,RU,66.56,overcast clouds,46.4856,135.8833,
237,Zyryanka,RU,58.68,clear sky,65.75,150.85,
238,Zapolyarnyy,RU,60.08,few clouds,69.4154,30.8136,Pechenga
239,Beruwala,LK,80.19,heavy intensity rain,6.4788,79.9828,The Palms Hotel
240,Winnemucca,US,89.65,clear sky,40.973,-117.7357,Winners Inn Casino
241,Timizart,DZ,79.02,light rain,36.8,4.2667,yefssah restaurant
242,San Quintin,MX,74.66,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
243,Kaeo,NZ,50.36,scattered clouds,-35.1,173.7833,Bushido Lodge
244,Camacupa,AO,58.71,clear sky,-12.0167,17.4833,
245,Yabrud,SY,69.85,clear sky,33.9674,36.6574,صالة افراح الاندلس
246,Conceicao Do Araguaia,BR,86.47,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
247,Morant Bay,JM,85.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
248,Amanganj,IN,83.93,overcast clouds,24.4333,80.0333,Matki Choraha
249,Jiuquan,CN,70.9,broken clouds,39.7432,98.5174,Jiuquan Hotel
250,Besancon,FR,68.14,clear sky,47.2488,6.0182,ibis Besançon Centre-Ville
251,Toribio,CO,67.46,overcast clouds,2.9548,-76.2684,Casa de Huespedes Toribio
252,Lanzhou,CN,71.94,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
253,Dhenkanal,IN,79.56,overcast clouds,20.6667,85.6,Sai Residency
254,Bilma,NE,93.97,clear sky,18.6853,12.9164,Expeditions Ténére voyages
